timestamp(ms),GPS.Lat,GPS.Alt,GPS.Lng,IMU.AccX,IMU.AccY,RCOU.C1,RCOU.C3,DCM.Yaw,IMU.GyrZ
2867242.826,634014856,219.75,103148322,2.4997897148132324,-0.5530367493629456,1100,1900,80.03485870361328,-0.06821179389953613
2867342.826,634014856,219.75,103148322,2.4205901622772217,-0.5449188947677612,1100,1900,79.50101470947266,-0.07084327936172485
2867442.826,634014863,219.75,103148445,2.2857370376586914,-0.5603023767471313,1100,1900,78.88246154785156,-0.07355380058288574
2867542.826,634014863,219.75,103148445,2.236009359359741,-0.6155312657356262,1100,1900,78.2722396850586,-0.076567642390728
2867642.826,634014871,219.76,103148567,2.1868338584899902,-0.5720148682594299,1100,1900,77.67257690429688,-0.07687108218669891
2867742.826,634014871,219.76,103148567,2.32643461227417,-0.6485686302185059,1100,1900,77.05170440673828,-0.07712830603122711
2867842.826,634014880,219.75,103148689,2.360999584197998,-0.6385208368301392,1100,1900,76.37467956542969,-0.08120554685592651
2867942.826,634014880,219.75,103148689,2.363748788833618,-0.6106378436088562,1100,1900,75.7874984741211,-0.07848820835351944
2868042.826,634014889,219.75,103148812,2.3044662475585938,-0.502060055732727,1100,1900,75.18527221679688,-0.07596825063228607
2868142.826,634014889,219.75,103148812,2.299564838409424,-0.4814424216747284,1100,1900,74.60009765625,-0.0732351541519165
2868242.826,634014900,219.74,103148934,2.1796743869781494,-0.5938040018081665,1100,1900,74.01819610595703,-0.07427818328142166
2868342.826,634014900,219.74,103148934,2.1871747970581055,-0.5802433490753174,1100,1900,73.40058135986328,-0.07659756392240524
2868442.826,634014911,219.74,103149055,2.252450942993164,-0.6734112501144409,1100,1900,72.85118103027344,-0.07737842947244644
2868542.826,634014911,219.74,103149055,2.325037956237793,-0.646356999874115,1100,1900,72.1937255859375,-0.08031909167766571
2868642.826,634014923,219.74,103149177,2.2656946182250977,-0.5509153008460999,1100,1900,71.57056427001953,-0.08304759860038757
2868742.826,634014923,219.74,103149177,2.268462896347046,-0.5175133347511292,1100,1900,70.94734191894531,-0.07927118986845016
2868842.826,634014936,219.75,103149297,2.2246673107147217,-0.592195451259613,1100,1900,70.30694580078125,-0.07649257034063339
2868942.826,634014936,219.75,103149297,2.168916702270508,-0.5550308227539062,1100,1900,69.74250793457031,-0.07426042854785919
2869042.826,634014950,219.75,103149417,2.249948501586914,-0.3854871392250061,1100,1900,69.1747817993164,-0.06446708738803864
2869142.826,634014950,219.75,103149417,2.1968185901641846,-0.5405299663543701,1100,1900,68.67820739746094,-0.06608268618583679
2869242.826,634014964,219.74,103149535,2.1819472312927246,-0.5968242883682251,1100,1900,68.08560180664062,-0.07352171838283539
2869342.826,634014964,219.74,103149535,2.203838348388672,-0.5248035192489624,1100,1900,67.47874450683594,-0.0720873475074768
2869442.826,634014979,219.75,103149653,2.210322856903076,-0.530792772769928,1100,1900,66.91956329345703,-0.0704556256532669
2869542.826,634014979,219.75,103149653,2.244654893875122,-0.5119668245315552,1100,1900,66.32176971435547,-0.07278069853782654
2869642.826,634014995,219.75,103149771,2.1861319541931152,-0.5860810875892639,1100,1900,65.67852783203125,-0.07551439851522446
2869742.826,634014995,219.75,103149771,2.313304901123047,-0.5457414388656616,1100,1900,65.09188842773438,-0.07296755164861679
2869842.826,634015012,219.75,103149888,2.1394762992858887,-0.5107449889183044,1100,1900,64.52684020996094,-0.0726979672908783
2869942.826,634015012,219.75,103149888,2.1624574661254883,-0.4767480790615082,1100,1900,63.9263801574707,-0.06991032510995865
2870042.826,634015029,219.75,103150005,2.1711878776550293,-0.49721330404281616,1100,1900,63.345787048339844,-0.0680341050028801
2870142.826,634015029,219.75,103150005,2.27852201461792,-0.5103118419647217,1100,1900,62.77457809448242,-0.06312413513660431
2870242.826,634015046,219.74,103150120,2.2357583045959473,-0.5065624713897705,1100,1900,62.20772171020508,-0.06652721762657166
2870342.826,634015046,219.74,103150120,2.249715566635132,-0.5079447031021118,1100,1900,61.64551544189453,-0.0670308768749237
2870442.826,634015065,219.73,103150236,2.264256477355957,-0.5534484386444092,1100,1900,61.058876037597656,-0.0684734657406807
2870542.826,634015065,219.73,103150236,2.2131309509277344,-0.5339479446411133,1100,1900,60.499298095703125,-0.06674350053071976
2870642.826,634015083,219.71,103150352,2.1826062202453613,-0.41192206740379333,1100,1900,59.853721618652344,-0.06935062259435654
2870742.826,634015083,219.71,103150352,2.2367420196533203,-0.5173138976097107,1100,1900,59.26509094238281,-0.07036451250314713
2870842.826,634015102,219.69,103150465,2.2596678733825684,-0.5832080841064453,1100,1900,58.62443161010742,-0.07398054003715515
2870942.826,634015102,219.69,103150465,2.2109928131103516,-0.5640963315963745,1100,1900,58.01279067993164,-0.07579319179058075
2871042.826,634015123,219.69,103150579,2.25003981590271,-0.5648563504219055,1100,1900,57.45103454589844,-0.07554800808429718
2871142.826,634015123,219.69,103150579,2.2182986736297607,-0.6343533992767334,1100,1900,56.84321212768555,-0.0785975530743599
2871242.826,634015144,219.67,103150692,2.2127685546875,-0.5762330889701843,1100,1900,56.2610969543457,-0.07944197207689285
2871342.826,634015144,219.67,103150692,2.172607183456421,-0.5208113789558411,1100,1900,55.68007278442383,-0.07817716151475906
2871442.826,634015166,219.65,103150802,1.827268362045288,-0.44888538122177124,1166,1837,55.08353805541992,-0.07578626275062561
2871542.826,634015166,219.65,103150802,1.187508225440979,-0.4819318354129791,1248,1759,54.5644645690918,-0.07166407257318497
2871642.826,634015188,219.6,103150904,0.12841962277889252,-0.47303032875061035,1330,1681,54.162906646728516,-0.06416406482458115
2871742.826,634015188,219.6,103150904,-0.7463117241859436,-0.34688600897789,1412,1603,53.91576385498047,-0.051260847598314285
2871842.826,634015206,219.58,103150990,-1.5582184791564941,-0.26561909914016724,1510,1510,53.74603271484375,-0.048105284571647644
2871942.826,634015206,219.58,103150990,-2.106569766998291,-0.22674660384655,1510,1510,53.67396545410156,-0.04176795482635498
2872042.826,634015221,219.56,103151063,-1.8269758224487305,-0.28132104873657227,1510,1510,53.688316345214844,-0.018652349710464478
2872142.826,634015221,219.56,103151063,-1.624578833580017,-0.08769607543945312,1510,1510,53.666290283203125,-0.01848505809903145
2872242.826,634015234,219.6,103151123,-1.3033658266067505,-0.13301542401313782,1510,1510,53.60272979736328,-0.019204124808311462
2872342.826,634015234,219.6,103151123,-0.8376019597053528,-0.2821676731109619,1510,1510,53.5041389465332,-0.014246389269828796
2872442.826,634015245,219.57,103151171,-0.3822307586669922,-0.2104162573814392,1510,1510,53.39664840698242,-0.01440756767988205
2872542.826,634015245,219.57,103151171,-0.24382607638835907,-0.12415441870689392,1510,1510,53.32323455810547,-0.017574800178408623
2872642.826,634015255,219.55,103151215,-0.24352900683879852,-0.21037077903747559,1510,1510,53.30728530883789,-0.016724752262234688
2872742.826,634015255,219.55,103151215,-0.4580875635147095,-0.18475282192230225,1510,1510,53.32114791870117,-0.01367424987256527
2872842.826,634015263,219.54,103151253,-0.6376407742500305,-0.17782247066497803,1510,1510,53.39606475830078,-0.010187062434852123
2872942.826,634015263,219.54,103151253,-0.6127273440361023,-0.22812363505363464,1510,1510,53.46706008911133,-0.009036628529429436
2873042.826,634015270,219.51,103151286,-0.5207752585411072,-0.19352205097675323,1510,1510,53.49552536010742,-0.009338942356407642
2873142.826,634015270,219.51,103151286,-0.42575302720069885,-0.17457307875156403,1510,1510,53.4881706237793,-0.010435440577566624
2873242.826,634015277,219.5,103151318,-0.18995721638202667,-0.15634062886238098,1510,1510,53.4788932800293,-0.011680430732667446
2873342.826,634015277,219.5,103151318,-0.3078914284706116,-0.18020124733448029,1510,1510,53.479087829589844,-0.011640572920441628
2873442.826,634015283,219.48,103151348,-0.14802539348602295,-0.20058634877204895,1510,1510,53.5141487121582,-0.0122799938544631
2873542.826,634015283,219.48,103151348,-0.32418274879455566,-0.12936927378177643,1510,1510,53.535858154296875,-0.011753766797482967
2873642.826,634015290,219.47,103151378,-0.29496246576309204,-0.19602595269680023,1510,1510,53.544498443603516,-0.012649468146264553
2873742.826,634015290,219.47,103151378,-0.40189114212989807,-0.18882329761981964,1510,1510,53.5355224609375,-0.012326953001320362
2873842.826,634015296,219.45,103151406,-0.30462542176246643,-0.15967760980129242,1510,1510,53.5174674987793,-0.01137535274028778
2873942.826,634015296,219.45,103151406,-0.3333875834941864,-0.16348344087600708,1510,1510,53.503623962402344,-0.010344041511416435
2874042.826,634015303,219.45,103151436,-0.25443482398986816,-0.18997332453727722,1510,1510,53.4692497253418,-0.010353722609579563
2874142.826,634015303,219.45,103151436,-0.24641308188438416,-0.14402014017105103,1510,1510,53.42280197143555,-0.011220419779419899
2874242.826,634015308,219.44,103151464,-0.2505636215209961,-0.1735997498035431,1510,1510,53.40578079223633,-0.012512004002928734
2874342.826,634015308,219.44,103151464,-0.2552938759326935,-0.1740592122077942,1510,1510,53.33729934692383,-0.012575605884194374
